INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
ISM Dhanbad,Applied Geophysics,0,ST
IIT Roorkee,Geophysical Technology,0,ST
IIT Roorkee,Architecture,0,ST
IIT Roorkee,Pulp & Paper Engineering,0,ST
IIT Madras,Naval Architecture & Ocean Engineering,0,ST
IIT Madras,Electrical Engineering *,0,ST
IIT Madras,Civil Engineering *,0,ST
IIT Kanpur,Chemistry,0,ST
IIT (BHU) Varanasi,Industrial Chemistry,0,ST
IIT (BHU) Varanasi,Pharmaceutics,0,ST
IIT Kharagpur,Exploration Geophysics,0,ST
IIT Kharagpur,Economics,0,ST
IIT Kharagpur,Applied Geology,0,ST
ISM Dhanbad,Applied Geology,0,ST
ISM Dhanbad,Mathematics & Computing,0,ST
IIT Bombay,Electrical Engineering,18,ST
IIT Bombay,Computer Engineering,19,SC
IIT Bombay,Computer Engineering,21,ST
IIT Madras,Computer Engineering,26,ST
IIT Delhi,Computer Engineering,34,ST
IIT Delhi,Computer Engineering,36,SC
IIT Bombay,Computer Engineering,38,OBC
IIT Delhi,Electrical Engineering,39,ST
IIT Madras,Computer Engineering,48,SC
IIT Bombay,Mechanical Engineering,52,ST
IIT Delhi,Civil Engineering,57,ST
IIT Bombay,Computer Engineering,59,GENERAL
IIT Delhi,Mechanical Engineering,63,ST
IIT Bombay,Electrical Engineering,64,SC
IIT Delhi,Computer Engineering,69,OBC
IIT Madras,Electrical Engineering,73,ST
IIT Bombay,Electrical Engineering,80,OBC
IIT Kanpur,Computer Engineering,83,SC
IIT Kharagpur,Computer Engineering,86,ST
IIT Kanpur,Computer Engineering,88,ST
IIT Delhi,Electrical Engineering,92,SC
IIT Bombay,Civil Engineering,96,ST
IIT Madras,Computer Engineering,102,OBC
IIT Bombay,Mechanical Engineering,105,SC
IIT Bombay,Electrical (in Microelectronics) Engineering,105,ST
IIT Delhi,Computer Science & Engineering,106,ST
IIT Kanpur,Electrical Engineering,107,ST
IIT Delhi,Electrical (Power & Automation) Engineering,108,ST
IIT Delhi,Computer Engineering,109,GENERAL
IIT Kanpur,Mechanical Engineering,109,ST
IIT Madras,Mechanical Engineering,115,ST
IIT Bombay,Electrical Engineering *,123,ST
IIT Kharagpur,Computer Engineering,125,SC
IIT Delhi,Mechanical Engineering,129,SC
IIT Kharagpur,Mechanical Engineering,132,ST
IIT Kharagpur,Electrical Engineering,133,ST
IIT Bombay,Electrical Engineering,135,GENERAL
IIT Kharagpur,Electronics &Electrical Engineering,138,ST
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),140,ST
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),145,ST
IIT Kanpur,Computer Engineering,151,OBC
IIT Madras,Civil Engineering *,153,SC
IIT Kanpur,Civil Engineering,155,ST
IIT Delhi,Computer Science & Engineering,161,SC
IIT Delhi,Electrical Engineering,165,OBC
IIT Roorkee,Computer Engineering,167,ST
IIT Madras,Electrical Engineering,175,SC
IIT Kharagpur,Civil Engineering,179,ST
IIT Roorkee,Electrical Engineering,183,ST
