INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
ISM Dhanbad,Applied Geophysics,0,ST
IIT Kharagpur,Economics,0,ST
IIT Madras,Civil Engineering *,0,ST
IIT Roorkee,Architecture,0,ST
IIT Roorkee,Geophysical Technology,0,ST
IIT Kanpur,Chemistry,0,ST
IIT Kharagpur,Exploration Geophysics,0,ST
IIT Roorkee,Pulp & Paper Engineering,0,ST
IIT Kharagpur,Applied Geology,0,ST
IIT Madras,Electrical Engineering *,0,ST
IIT (BHU) Varanasi,Industrial Chemistry,0,ST
IIT (BHU) Varanasi,Pharmaceutics,0,ST
ISM Dhanbad,Mathematics & Computing,0,ST
ISM Dhanbad,Applied Geology,0,ST
IIT Madras,Naval Architecture & Ocean Engineering,0,ST
IIT Bombay,Computer Engineering,1,GENERAL
IIT Bombay,Computer Engineering,2,SC
IIT Bombay,Electrical Engineering,2,ST
IIT Bombay,Computer Engineering,3,ST
IIT Bombay,Electrical (in Microelectronics) Engineering,4,ST
IIT Delhi,Computer Engineering,4,GENERAL
IIT Delhi,Computer Engineering,5,ST
IIT Bombay,Electrical Engineering,7,GENERAL
IIT Delhi,Mechanical Engineering,8,ST
IIT Bombay,Computer Engineering,8,OBC
IIT Madras,Electrical Engineering,9,ST
IIT Delhi,Electrical Engineering,10,ST
IIT Delhi,Computer Engineering,10,SC
IIT Bombay,Electrical Engineering,12,SC
IIT Bombay,Engineering Physics,15,SC
IIT Delhi,Electrical Engineering,16,SC
IIT Delhi,Civil Engineering,17,ST
IIT Madras,Computer Engineering,17,SC
IIT Bombay,Mechanical Engineering,22,ST
IIT Madras,Computer Engineering,23,ST
IIT Bombay,Mechanical Engineering,24,GENERAL
IIT Madras,Engineering Physics,28,SC
IIT Delhi,Computer Engineering,28,OBC
IIT Bombay,Mechanical Engineering,29,SC
IIT Kanpur,Mechanical Engineering,30,ST
IIT Delhi,Mechanical Engineering,31,SC
IIT Bombay,Electrical Engineering,34,OBC
IIT Kanpur,Computer Engineering,36,ST
IIT Kanpur,Computer Engineering,42,SC
IIT Kanpur,Computer Engineering,42,OBC
IIT Madras,Mechanical Engineering,42,ST
IIT Kharagpur,Mechanical (M. Tech in any specialization),43,ST
IIT Delhi,Electrical Engineering,44,OBC
IIT Bombay,Aerospace Engineering,46,SC
IIT Delhi,Computer Science & Engineering,48,ST
IIT Kharagpur,Computer Engineering,49,ST
IIT Madras,Computer Engineering,52,OBC
IIT Delhi,Civil Engineering,52,SC
IIT Madras,Mechanical Engineering,54,GENERAL
IIT Madras,Mechanical Engineering,56,SC
IIT Bombay,Electrical Engineering *,57,OBC
IIT Kharagpur,Aerospace Engineering,58,SC
IIT Kanpur,Electrical Engineering,59,ST
IIT Madras,Computer Engineering,63,GENERAL
IIT Delhi,Computer Science & Engineering,66,GENERAL
IIT Roorkee,Mechanical Engineering,68,ST
IIT Madras,Electrical Engineering,68,SC
IIT Bombay,Civil Engineering,69,ST
IIT Madras,Electrical Engineering,71,OBC
IIT Delhi,Computer Science & Engineering,72,SC
IIT Kharagpur,Electronics &Electrical Engineering,76,ST
IIT Delhi,Electrical Engineering,80,GENERAL
IIT Delhi,Electrical (Power & Automation) Engineering,81,ST
IIT Kharagpur,Computer Engineering,84,SC
IIT Bombay,Mechanical Engineering,88,OBC
IIT Delhi,Mechanical Engineering,90,OBC
IIT Madras,Electrical Engineering,91,GENERAL
IIT Kharagpur,Electrical Engineering,92,ST
IIT Kharagpur,Mechanical Engineering,97,ST
IIT Bombay,Electrical (in Microelectronics) Engineering,100,OBC
IIT Madras,Engineering Physics,100,GENERAL
IIT Gandhinagar,Electrical Engineering,100,ST
IIT Kharagpur,Civil Engineering,103,ST
IIT Kanpur,Civil Engineering,104,ST
IIT Kanpur,Electrical Engineering,104,SC
IIT Kharagpur,Computer Engineering,104,OBC
IIT Delhi,Computer Science & Engineering,107,OBC
IIT Bombay,Civil Engineering,107,SC
IIT Roorkee,Computer Engineering,111,ST
IIT Roorkee,Electrical Engineering,112,ST
IIT Madras,Computer Science & Engineering,113,ST
IIT Roorkee,Civil Engineering,114,ST
IIT Madras,Computer Science & Engineering,114,SC
IIT Bombay,Electrical Engineering *,115,SC
IIT Bombay,Electrical Engineering *,116,ST
IIT Kanpur,Computer Engineering,120,GENERAL
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),124,ST
IIT Guwahati,Computer Engineering,127,SC
IIT Kharagpur,Electronics &Electrical Engineering,127,OBC
IIT Delhi,Electrical (Power & Automation) Engineering,131,SC
IIT Kanpur,Mechanical Engineering,135,SC
IIT Kharagpur,Electrical Engineering,135,OBC
IIT Patna,Mechanical Engineering,136,ST
IIT Bombay,Electrical (in Microelectronics) Engineering,137,GENERAL
IIT Guwahati,Electronics & Electrical Engineering,139,ST
IIT Kharagpur,Computer Science & Engineering,140,SC
IIT Bombay,Electrical (in Microelectronics) Engineering,143,SC
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),144,ST
IIT Madras,Civil Engineering,146,ST
IIT Kharagpur,Electronics &Electrical Engineering,147,SC
IIT Madras,Computer Science & Engineering,148,OBC
IIT Kharagpur,Electrical Engineering,150,SC
IIT Kanpur,Aerospace Engineering,150,ST
IIT Bombay,Chemical Engineering,151,SC
IIT Bombay,Engineering Physics,151,ST
IIT Madras,Civil Engineering *,153,SC
IIT Bombay,Aerospace Engineering,154,ST
IIT Madras,Mechanical Engineering,155,OBC
IIT Bombay,Chemical Engineering,158,ST
IIT Kharagpur,Mechanical (M. Tech in any specialization),159,SC
IIT Kanpur,Electrical Engineering,167,OBC
IIT Roorkee,Mechanical Engineering,169,SC
IIT Roorkee,Electronics & Communication Engineering,172,ST
IIT Ropar,Computer Engineering,173,SC
IIT Hydrabad,Computer Engineering,176,ST
IIT Bhubaneshwar,Mechanical Engineering,177,ST
IIT Kharagpur,Computer Science & Engineering,178,ST
IIT Roorkee,Computer Engineering,178,SC
IIT Kanpur,Electrical Engineering,181,GENERAL
IIT Madras,Naval Arch. & Ocean Engineering,181,ST
IIT indore,Electrical Engineering,182,ST
IIT Kharagpur,Mechanical Engineering,184,SC
IIT Kharagpur,Electronics and Electrical Communication Engineering,185,ST
IIT Guwahati,Computer Engineering,187,ST
IIT Hydrabad,Mechanical Engineering,190,ST
IIT Bombay,Electrical Engineering *,192,GENERAL
IIT Madras,Aerospace,193,ST
IIT Kanpur,Physics,194,GENERAL
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),195,SC
IIT Delhi,Production Engineering,196,ST
IIT Guwahati,Mechanical Engineering,197,ST
IIT Delhi,Electrical (Power & Automation) Engineering,197,OBC
IIT Madras,Electrical Engineering,204,ST
IIT Kharagpur,Electronics and Electrical Communication Engineering,205,OBC
IIT Bombay,Engineering Physics,206,GENERAL
IIT Mandi,Electrical Engineering,208,ST
IIT Delhi,Chemical Engineering,209,ST
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),209,SC
IIT Roorkee,Computer Engineering,212,OBC
IIT Madras,Mechanical (Product Design),212,ST
IIT (BHU) Varanasi,Electrical Engineering,213,ST
IIT Kharagpur,Electrical Engineering *,214,ST
IIT Guwahati,Civil Engineering,215,ST
IIT Kharagpur,Computer Science & Engineering,218,OBC
IIT Jodhpur,Computer Engineering,218,ST
IIT Delhi,Engineering Physics,219,SC
IIT Madras,Aerospace Engineering,225,ST
IIT Kanpur,Civil Engineering,227,SC
IIT (BHU) Varanasi,Civil Engineering,229,ST
IIT Gandhinagar,Civil Engineering,236,ST
IIT Bombay,Metallurgical Science,239,ST
IIT Roorkee,Electrical Engineering,240,SC
IIT Kharagpur,Computer Engineering,240,GENERAL
IIT Kharagpur,Electronics &Electrical Engineering,241,GENERAL
IIT (BHU) Varanasi,Mechanical Engineering,249,ST
ISM Dhanbad,Civil Engineering,252,ST
IIT Madras,Chemical Engineering,253,GENERAL
IIT Madras,Mechanical (Intelligent Manufacturing),256,ST
IIT Hydrabad,Computer Engineering,256,SC
