,IIT Bombay,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Branch Name ,General ,,OBC,,SC,,ST,
1,,Open,Close,Open,Close,Open,Close,Open,Close
2,Aerospace Engineering,405,1674,256,811,46,334,154,266
3,Chemical Engineering,727,1240,427,845,151,544,158,315
4,Civil Engineering,400,1688,379,873,107,372,69,96
5,Computer Engineering,1,59,8,38,2,19,3,21
6,Electrical Engineering,7,135,34,80,12,64,2,18
7,Engineering Physics,206,1090,455,815,15,490,151,426
8,Mechanical Engineering,24,488,88,231,29,105,22,52
9,Metallurgical Science,1243,2790,996,1716,526,982,239,522
10,Electrical Engineering *,192,435,57,358,115,305,116,123
11,Electrical (in Microelectronics) Engineering,137,292,100,278,143,206,4,105
12,Energy (M. Tech in Energy Systems) Engineering,932,1816,790,1126,721,796,335,462
13,Engineering Physics *,963,1371,809,891,715,739,322,322
14,Mechanical (M. Tech in Computer Aided Design),505,624,267,400,195,203,124,140
15,Mechanical (M. Tech in Computer Integrated Manufacturing),625,720,338,421,209,249,144,145
16,Metallurgical and Materials Engineering *,2502,3073,1569,1840,1025,1089,343,343
17,Metallurgical and Materials Engineering *,2757,3084,1777,1865,1010,1016,515,515
18,,,,,,,,,
19,,,,,,,,,
20,IIT Delhi,,,,,,,,
21,Branch Name ,General ,,OBC,,SC,,ST,
22,,Open,Close,Open,Close,Open,Close,Open,Close
23,Chemical Engineering,725,1402,303,924,294,570,209,317
24,Civil Engineering,942,1962,320,791,52,353,17,57
25,Computer Engineering,4,109,28,69,10,36,5,34
26,Electrical Engineering,80,299,44,165,16,92,10,39
27,Electrical (Power & Automation) Engineering,374,757,197,432,131,265,81,108
28,Engineering Physics,859,2233,1030,1524,219,713,402,565
29,Mechanical Engineering,272,630,90,297,31,129,8,63
30,Production Engineering,826,1881,837,1237,371,658,196,419
31,Textile Technology,1967,4321,1546,2336,599,1332,491,607
32,Biochemical,2501,4360,1552,2399,710,1321,642,720
33,Chemical Engineering,1405,2134,998,1342,413,674,364,393
34,Computer Science & Engineering,66,217,107,202,72,161,48,106
35,Mathematics & Computing,357,786,448,646,501,731,377,558
36,,,,,,,,,
37,,,,,,,,,
38,IIT Kharagpur,,,,,,,,
39,Branch Name ,General ,,OBC,,SC,,ST,
40,,Open,Close,Open,Close,Open,Close,Open,Close
41,Aerospace Engineering,2499,2786,628,1247,58,394,273,302
42,Agricultural & Food Engineering,4139,5568,1996,2619,1086,1486,580,701
43,Biotechnology & Biochemical Engineering,3421,5092,2243,2556,1167,1363,613,667
44,Chemical Engineering,1627,2448,926,1304,578,734,375,452
45,Civil Engineering,1999,2874,904,1127,420,566,103,179
46,Computer Engineering,240,396,104,191,84,125,49,86
47,Electrical Engineering,580,1001,135,426,150,307,92,133
48,Electronics &Electrical Engineering,241,824,127,385,147,322,76,138
49,Industrial Engineering,2100,3147,1330,1682,603,875,456,609
50,Instrumentation Engineering,1277,1907,806,1113,619,822,342,409
51,Manufacturing Engineering,2030,2916,1380,1671,1047,1148,616,626
52,Mechanical Engineering,971,1231,351,505,184,259,97,132
53,Metallurgical Engineering,3017,3878,1532,2015,883,1130,548,604
54,Mining Engineering,3976,5028,1480,2190,772,1223,352,591
55,Ocean Engineering & Naval Architecture,2145,4512,1456,2147,1231,1350,535,636
56,Architecture,4826,7128,3849,4185,1357,2077,795,795
57,Aerospace,2792,3279,1073,1396,492,670,347,347
58,Agriculture & Food *,4732,6549,2761,2987,1437,1657,747,853
59,Biotechnology & Biochemical Engineering,3725,5957,1670,2798,1502,1559,801,815
60,Chemical Engineering,2477,3076,1462,1564,529,865,477,497
61,Civil (any specialization),2633,3276,1150,1423,496,621,271,293
