Restaurant_Name,URLs
Cafe Safar,https://www.zomato.com/mumbai/cafe-safar-oshiwara
AB's - Absolute Barbecues,https://www.zomato.com/mumbai/abs-absolute-barbecues-powai
Summer N Spice,https://www.zomato.com/mumbai/summer-n-spice-vasant-vihar-thane-west-thane
Joey's Pizza,https://www.zomato.com/mumbai/joeys-pizza-malad-west
Younion,https://www.zomato.com/mumbai/younion-lower-parel
Starbucks Coffee,https://www.zomato.com/mumbai/starbucks-coffee-fort
Bastian,https://www.zomato.com/mumbai/bastian-linking-road-bandra-west
Global Fusion,https://www.zomato.com/mumbai/global-fusion-marol
Persian Darbar,https://www.zomato.com/mumbai/persian-darbar-marol
Lord of the Drinks,https://www.zomato.com/mumbai/lord-of-the-drinks-lower-parel
Yauatcha,https://www.zomato.com/mumbai/yauatcha-bandra-kurla-complex
Hitchki,https://www.zomato.com/mumbai/hitchki-bandra-kurla-complex
Butterfly High,https://www.zomato.com/mumbai/butterfly-high-bandra-kurla-complex
Sigree Global Grill,https://www.zomato.com/mumbai/sigree-global-grill-powai
Sin City Rooftop Resto & Lounge,https://www.zomato.com/mumbai/sin-city-rooftop-resto-lounge-andheri-lokhandwala
Prithvi Cafe,https://www.zomato.com/mumbai/prithvi-cafe-juhu
Aer - Four Seasons,https://www.zomato.com/mumbai/aer-four-seasons-worli
Bayroute,https://www.zomato.com/mumbai/bayroute-bandra-kurla-complex
BKC  DIVE,https://www.zomato.com/mumbai/bkc-dive-bandra-kurla-complex
Rude Lounge,https://www.zomato.com/mumbai/rude-lounge-powai
Razzberry Rhinoceros,https://www.zomato.com/mumbai/razzberry-rhinoceros-juhu
Britannia & Company Restaurant,https://www.zomato.com/mumbai/britannia-company-restaurant-fort
Tamasha,https://www.zomato.com/mumbai/tamasha-lower-parel
Tewari Bros. Mithaiwala,https://www.zomato.com/mumbai/tewari-bros-mithaiwala-juhu
Warehouse Kitchenbar,https://www.zomato.com/mumbai/warehouse-kitchenbar-malad-west
The Caravan Menu,https://www.zomato.com/mumbai/the-caravan-menu-panch-pakhadi-thane-west
CinCin,https://www.zomato.com/mumbai/cincin-bandra-kurla-complex
Barbeque Central,https://www.zomato.com/mumbai/barbeque-central-goregaon-west
Angrezi Dhaba,https://www.zomato.com/mumbai/angrezi-dhaba-1-dadar-west
Persia Darbar,https://www.zomato.com/mumbai/persia-darbar-malad-west
Tanatan,https://www.zomato.com/mumbai/tanatan-dadar-shivaji-park
Flea Bazaar Café,https://www.zomato.com/fleabazaarcafe
145 Andheri,https://www.zomato.com/mumbai/145-andheri-veera-desai-area
The Bombay Canteen,https://www.zomato.com/thebombaycanteen
BOX8- Desi Meals,https://www.zomato.com/Box8-Mahakali
Guru Kripa,https://www.zomato.com/mumbai/guru-kripa-sion
Bombay Cocktail Bar,https://www.zomato.com/mumbai/bombay-cocktail-bar-andheri-lokhandwala
Mini Punjab's Lake Side,https://www.zomato.com/mumbai/mini-punjabs-lake-side-powai
The Food Studio - Kitchen & Bar,https://www.zomato.com/mumbai/the-food-studio-kitchen-bar-malad-west
Shamiana - The Taj Mahal Palace,https://www.zomato.com/mumbai/shamiana-the-taj-mahal-palace-colaba
Mirchi And Mime,https://www.zomato.com/mumbai/mirchi-and-mime-powai
Delhi Highway,https://www.zomato.com/mumbai/delhi-highway-1-marol
London Taxi,https://www.zomato.com/mumbai/london-taxi-lower-parel
JLWA,https://www.zomato.com/mumbai/jlwa-linking-road-bandra-west
Glocal Junction,https://www.zomato.com/mumbai/glocal-junction-worli
Khar Social,https://www.zomato.com/KharSocial
Lord Of Bar- B-Que,https://www.zomato.com/mumbai/lord-of-bar-b-que-khopat-thane-west-thane
Poetry by Love and Cheesecake,https://www.zomato.com/mumbai/poetry-by-love-and-cheesecake-2-powai
Dome - InterContinental,https://www.zomato.com/mumbai/dome-intercontinental-churchgate
Breeze Lounge,https://www.zomato.com/mumbai/breeze-lounge-powai
Barbeque Nation,https://www.zomato.com/mumbai/barbeque-nation-1-worli
Gulati's,https://www.zomato.com/mumbai/gulatis-mahakali
Bayview Cafe,https://www.zomato.com/mumbai/bayview-cafe-colaba
Ishaara,https://www.zomato.com/mumbai/ishaara-lower-parel
Smokin Joe's,https://www.zomato.com/mumbai/smokin-joes-3-oshiwara
Pizza By The Bay,https://www.zomato.com/mumbai/pizza-by-the-bay-churchgate
Afzal Restaurant,https://www.zomato.com/mumbai/afzal-restaurant-byculla
Baba Falooda,https://www.zomato.com/mumbai/baba-falooda-mahim
Masala Library,https://www.zomato.com/mumbai/masala-library-bandra-kurla-complex
Foo,https://www.zomato.com/mumbai/foo-lower-parel
Foo,https://www.zomato.com/mumbai/foo-lower-parel
Eva's Pizza,https://www.zomato.com/mumbai/evas-pizza-marol
Jimis Burger,https://www.zomato.com/mumbai/jimis-burger-andheri-lokhandwala
Taftoon Bar & Kitchen,https://www.zomato.com/mumbai/taftoon-bar-kitchen-bandra-kurla-complex
Timess Square,https://www.zomato.com/mumbai/timess-square-borivali-west
Derby,https://www.zomato.com/mumbai/derby-bandra-kurla-complex
Status Veg Restaurant,https://www.zomato.com/mumbai/status-veg-restaurant-nariman-point
Cavalry The Lounge,https://www.zomato.com/mumbai/cavalry-the-lounge-powai
TAP,https://www.zomato.com/mumbai/tap-marol
1 BHK - Brew House Kitchen,https://www.zomato.com/mumbai/1-bhk-brew-house-kitchen-oshiwara
MRP - My Regular Place,https://www.zomato.com/mumbai/mrp-my-regular-place-dadar-east
The Atrangii House,https://www.zomato.com/mumbai/the-atrangii-house-airoli-navi-mumbai
Copper Chimney,https://www.zomato.com/copper-worli
Yazu - Pan Asian Supper Club,https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara
Trèsind,https://www.zomato.com/mumbai/trèsind-bandra-kurla-complex
Drinkery 51,https://www.zomato.com/mumbai/drinkery-51-bandra-kurla-complex
Maharaja Bhog,https://www.zomato.com/mumbai/maharaja-bhog-lower-parel
Chaitanya,https://www.zomato.com/mumbai/chaitanya-dadar-west
The Finch,https://www.zomato.com/mumbai/the-finch-1-powai
Raasta,https://www.zomato.com/mumbai/raasta-khar
Leopold Cafe & Bar,https://www.zomato.com/mumbai/leopold-cafe-bar-colaba
Nara,https://www.zomato.com/mumbai/nara-bandra-kurla-complex
Taste Of Punjab,https://www.zomato.com/mumbai/taste-of-punjab-1-vashi-navi-mumbai
Ministry Of Dance,https://www.zomato.com/mumbai/ministry-of-dance-near-andheri-west-station
Kyani & Co.,https://www.zomato.com/mumbai/kyani-co-marine-lines
Pop Tate's,https://www.zomato.com/mumbai/pop-tates-kandivali-east
BOMB’AR,https://www.zomato.com/mumbai/bombar-goregaon-west
Aaswad,https://www.zomato.com/mumbai/aaswad-2-dadar-west
Doolally Taproom,https://www.zomato.com/mumbai/doolally-taproom-veera-desai-area
Mitron - Peninsula Grand Hotel,https://www.zomato.com/mumbai/mitron-peninsula-grand-hotel-sakinaka
Kyani & Co.,https://www.zomato.com/mumbai/kyani-co-marine-lines
Pop Tate's,https://www.zomato.com/mumbai/pop-tates-kandivali-east
BOMB’AR,https://www.zomato.com/mumbai/bombar-goregaon-west
Estella,https://www.zomato.com/mumbai/estella-juhu
O Pedro,https://www.zomato.com/mumbai/o-pedro-bandra-kurla-complex
Mitron - Peninsula Grand Hotel,https://www.zomato.com/mumbai/mitron-peninsula-grand-hotel-sakinaka
Gallops,https://www.zomato.com/mumbai/gallops-mahalaxmi
Say Cheese,https://www.zomato.com/mumbai/say-cheese-charni-road
Pot Pourri,https://www.zomato.com/mumbai/pot-pourri-chembur
Kaala Chashma,https://www.zomato.com/mumbai/kaala-chashma-panch-pakhadi-thane-west-thane
Harbour O' Four,https://www.zomato.com/mumbai/harbour-o-four-panch-pakhadi-thane-west
Bombay Adda,https://www.zomato.com/mumbai/bombay-adda-santacruz-west
Sardar Pav bhaji,https://www.zomato.com/mumbai/sardar-pav-bhaji-tardeo
Asilo - The St. Regis Mumbai,https://www.zomato.com/mumbai/asilo-the-st-regis-mumbai-lower-parel
Grandmama's Cafe,https://www.zomato.com/mumbai/grandmamas-cafe-juhu
Chin Chin Chu,https://www.zomato.com/mumbai/chin-chin-chu-juhu
Ministry Of Crab,https://www.zomato.com/mumbai/ministry-of-crab-khar
Canto Restaurant & Banquet,https://www.zomato.com/mumbai/canto-restaurant-banquet-lower-parel
Theobroma,https://www.zomato.com/mumbai/theobroma-linking-road-bandra-west
Town Hall,https://www.zomato.com/mumbai/town-hall-lower-parel
Flag's,https://www.zomato.com/mumbai/flags-malad-west
